Name,Biography,Title,Abstract
Zachary Yedidia,"Zachary Yedidia is a sophomore at Concord Academy High School. He is currently working on a Julia wrapper of SFML (the ""Simple Fast Multimedia Library"").",SFML.jl -- A package for the Simple Fast Multimedia Library,"The SFML library is often used for game development by small companies or hobbyists, but it can also be used to create demonstrations and animations for scientific algorithms. SFML has modules for graphics, audio, and networking. The SFML.jl package I am working on should let Julia users take advantage of SFML to create compelling games and demos easily."
Shashi Gowda,I make UI tools for Julia and JuliaBox users.I brought @manipulate to your IJulia notebooks. :),Escher.jl: A new way to make and deploy GUIs,TBC
Viral Shah,https://in.linkedin.com/in/viralbshah,JuliaBox - Julia in your browser,"We will introduce JuliaBox, its architecture, the things people are using it for, automatic grading in classrooms, and a roadmap for building and serving Julia applications through JuliaBox.

We will describe a roadmap of how complete applications with a web UI (Canvas) and a computational backend can be built effortlessly in Julia and deployed with a single click on JuliaBox."
Sebastien Martin,"Sebastien Martin is a PhD student in Operations Research at MIT. His research focuses on Online Optimization and Transportation. The visualization part of the project was also done with the help of Brandon Zeng, sophomore in Computer Sciences at MIT.","Taxi fleet simulation and visualization","We are considering taxis in a city (represented using LightGraphs.jl) with customers ready to be picked up at different times and locations. We are using JuliaOpt packages to find the best actions of our taxi fleet and maximize their revenues. We then use OpenStreetMap.jl and SFML.jl to visualize the results of the simulations."
Zenna Tavares,"Zenna Tavares is a Ph.D candidate at CSAIL of MIT in the Computer Aided Programming group.  Motivated by problems in both human and artificial intelligence, he studies probabilistic programming languages, inference algorithms and the automated synthesis of programs.

He has worked on two Julia packages: Sigma.jl for probabilistic programming, and Lens.jl, a simple package to analyse runtime behaviour of algorithms.",Julia as a Probabilistic Programming Language,"There has been much debate over Julia's prospects as a viable language for statistical computing.  In this talk I will offer a more exciting possibility: that Julia is uniquely well positioned for probabilistic programming.  I will present Sigma.jl, a Julia package in which you can specify arbitrarily complex probabilistic models as normal Julia programs; general probabilistic inference procedures then attempt to answer any statistical question you pose about the model.

Researchers typically invent entirely new languages for probabilistic programming.  I will describe how we implement Sigma.jl purely as a package by exploiting Julia's introspection and multimethod dispatch capabilities to perform static analyses, dynamically.  This allows us, for instance, to use Julia's existing linear algebra routines over random matrices. I will also outline our algorithmic approach to probabilistic inference, which combines methods from statistics, program analysis and constraint solving, and when combined with Julia enables us to address new classes of probabilistic inference problems."
Chiyuan Zhang,"Chiyuan Zhang is a PhD student at CSAIL, MIT. His research focus on machine learning, speech recognition, and computational neuroscience. He is the author of Mocha.jl, a flexible, feature complete and efficient deep neural network library for Julia.",Mocha.jl - Deep Learning for Julia,"Mocha.jl is a a flexible and efficient deep neural network library supporting multiple backends (CPU and GPU). In this talk, I will present the basic design and architecture of this library and demonstrate how to train a deep convolutional neural network in Julia."
Simon Kornblith,"Simon Kornblith is a graduate student in Brain and Cognitive Sciences at MIT. He has used Julia in his work since 2013. He contributes to several Julia packages, including HDF5, MAT, DSP, and DataArrays, as well as to Julia itself. ",L1 regularized regression,"L1 regularized regression, or the Lasso, is a popular technique for building linear and generalized linear models that selects only a subset of predictors and allows fitting models with more predictors than data points. Modern statistical theory provides a way to determine which of these predictors make significant contributions to the model. I will describe three packages I've created that implement L1 regularized regression in Julia: Lasso.jl, LARS.jl, and GLMNet.jl, and compare their approaches and performance."
Pontus Stenetorp,"Pontus is a research associate at University College London, that spends
most of his research time on Natural Language Processing and Machine Learning.  He has been using Julia since 2014 due to a need for rapid prototyping and computational performance.  When it comes to Julia contributions, he tends to contribute small occasional patches to the standard library.",Suitably Naming a Child with Multiple Nationalities using Julia,"Naming a child is never easy, and for parents that have different native languages it poses further problems.  Ideally, the name should be equally suitable for both of their native tongues, but how can one find such a name?  In this talk we will take a computational approach and attempt to model the suitability of a name using approaches from Natural Language Processing and Machine Learning, and, of course, our language of choice, Julia.  We will cover data collection/processing, mapping strings to phonemes, differences in languages, and the machine learning techniques necessary to modelling the suitability of a name."
John Myles White,Developer of many JuliaStats packages.,What needs to be done to move JuliaStats forward?,"At present, the core JuliaStats libraries, DataArrays and DataFrames, have little to offer that would incentivize statisticians to switch away from R. In this talk, I'll outline a proposal for what the Julia community needs to do to convince a statistician with little-to-no engineering experience to switch languages."
Tony Fong,"Tony Fong is the author of Lint.jl and TermWin.jl, and a contributor to Formatting.jl and Traits.jl.  His background is in physics and finance.  Tony's primary reason of using Julia is modeling of lower dimension electronic systems.",Lint,"A static code analysis package `Lint.jl` will be showcased and discussed. I'll contrast this with other amazing tools such as `code_warntype`, `Typecheck.jl`. Some useful tips and tricks around the tool will be presented, such as lint-time printing and version-dependent linting. "
Tony Kelman,"Helped get Julia 0.3 to pass its unit tests on Windows, and keep them that way by setting up AppVeyor continuous integration for Julia. Contributor to various packages, especially in JuliaOpt.",How to support Windows: cross-platform installation and testing for Julia packages,"A quick walk through the challenges in making Julia packages, specifically those that rely on binary dependencies, available and properly tested for Windows users. The talk will summarize some of the differences in compilers and build environments that are relevant for building scientific software, and some approaches for dealing with them, even for package developers who never use Windows themselves.

Will specifically discuss and show examples of how to cross-compile common libraries, and how to use the openSUSE build service, the WinRPM.jl and BinDeps.jl Julia packages, and AppVeyor continuous integration testing."
Isaiah Norton,"I wrote the Clang.jl package, used to generate Julia bindings for several large (C) libraries, and have contributed to a number of other packages. I am also an active contributor to base Julia.",Automatic ccall wrapper generation with Clang.jl,"Clang.jl is a Julia binding to the C interface to the Clang compiler (libclang), providing access to C, C++, and Objective-C parse trees and associated information. Clang.jl provides a framework for automatic generation of Julia bindings from library headers and has been used to build packages including VideoIO.jl, and Gtk.jl. I will give a brief overview of the wrapped libclang API, the wrapper-generation system, and a wrapper generation example for a new library."
Iain Dunning,"I've been working with Julia for over two years, and have contributed mostly packages: JuliaOpt, Coverage.jl, FactCheck.jl, Humanize.jl, GraphLayout.jl, as well as countless patches to other packages and to Julia itself. My other main contribution is the development of pkg.julialang.org and the PackageEvaluator.jl package ecosystem testing service.","Julia's Package Ecosystem: Past, Present, and Future","A language can live or die depending on the strength of its package ecosystem. I'll present a brief history of how Julia's package ecosystem has grown over the past 3 years. I'll then describe the current situation, including the PackageEvaluator system and pkg.julialang.org. Finally I'll share some thoughts on future work in the area."
Sorami Hisamoto,"Sorami Hisamoto is yet another Julia enthusiast in Tokyo, Japan. He
works as a data analyst, mainly in the marketing area. Prior to that
he was doing researches in the field of Natural Language Processing.","What’s going on at JuliaTokyo?","JuliaTokyo is a community / meetup for Julia enthusiasts in Japan.

From basic tutorial to macros & parallel computing, Deep Learning to
AI Japanese chess, and even an unofficial anime character, we are
having a variety of activities at JuliaTokyo.

In this presentation I would like to introduce how Julia is gaining
its popularity in Japan, what we’ve been doing at JuliaTokyo, and how
we want to interact with the rest of the world in the future."
Leah Hanson,,Contributing to Julia, 
