Name,Biography,Title,Abstract
David P. Sanders,"I am an associate professor of computational physics in the Department of Physics, Faculty of Sciences, National University of Mexico (UNAM). I first heard about Julia in the summer of 2013 at SciPy, but did not really discover it until the beginning of 2014. Since then I have switched to using it full time for both teaching and research. I am an author of the `ValidatedNumerics.jl` and `BilliardModels.jl` packages. At SciPy 2014, I gave a 4-hour Julia tutorial, listed on the Learning section of the Julia web-page, which has over 20,000 views. ",Validated numerics in Julia,"We will present features of the `ValidatedNumerics.jl` package, which provides tools for rigorous numerical calculations in Julia via interval arithmetic, and its application to validated computation in dynamical systems.

In particular, in combination with the `BilliardModels.jl` package, we will show how to solve one of the ""hundred-dollar, hundred-digit challenge"" problems [1,2] by computing a guaranteed trajectory of a billiard model to arbitrary precision.

[1] http://people.maths.ox.ac.uk/trefethen/hundred.html
[2] https://www.siam.org/pdf/news/388.pdf
"
Luis Benet,"I am Associate Professor at the Instituto de Ciencias Físicas of the National University of Mexico (UNAM). My main fields of interest are classical and quantum chaos, random matrix theory and dynamical astronomy. Regarding Julia, I spotted a buggy behavior of `binomial` (#6154). Together with David Sanders, we develop and maintain `TaylorSeries.jl` and `ValidatedNumerics.jl`. I also use Julia to implement members of the so-called k-body gaussian embedded ensemble of random matrices. We are using Julia in our lectures.",Taylor series expansions in Julia,"I will describe some of the design and use of `TaylorSeries.jl`, which is a package to manipulate Taylor expansions in one or more independent variables. Results on integrations on a three-body problem will be presented.
"
Hongbo Rong,"A researcher at Programming Systems Lab in Intel. Worked on software pipelining, binary translation, and recently HPC.
Before that, a developer  in Microsoft Visual Studio. Engineered local scheduler and tree register allocator in Phoenix compiler, and the C++ type system in Visual Studio 2011.
Best Paper Awards at CGO 2004 and 2014.
Developed an initial version of Julia2C. Developing a Julia package, Sparse Accelerator.",Sparse Accelerator,"High-performance computing (HPC) on sparse data structures like graphs is becoming increasingly important in computational biology, web search, and knowledge discovery, etc.  Unlike traditional HPC applications that deal with regular data structures, sparse computation has unique challenges: its performance is often bound by the memory bandwidth,and  its parallelism is dependent on the specific input data. It is a very time-consuming process to speedup such workloads, usually taking an expert several months or years to achieve close-to-peak performance for a new architecture.

We propose an external Julia package, called Sparse Accelerator, to  automatically optimizes sparse applications. It co-designs compiler, library and runtime to exploit the potential.
"
Robert Moss,"Robert Moss is an assistant staff member at Lincoln Laboratory in the Surveillance Systems Group. He joined Lincoln Laboratory as a co-op while receiving his bachelor's degree in computer science from Wentworth Institute of Technology in 2014, where his research included modeling the rotation curve of galaxies in Julia. At Lincoln Laboratory, his research focuses on development and analysis of the next-generation airborne collision avoidance system.",Using Julia as a Specification Language for the Next-Generation Airborne Collision Avoidance System,"This talk outlines how the FAA and the international safety community is using Julia in the development and specification of the next generation aircraft collision avoidance system. Historically, pseudocode was used with separate implementations for the validation of the system. Today, we utilize Julia to auto generate our specification document and replaced pseudocode in favor an executable specification written in Julia."
Lars Ruthotto and Eldad Haber,"Lars Ruthotto is an assistant professor in the Department of Mathematics and Computer Science at Emory University. Eldad Haber is a professor at the Department of Earth and Ocean Sciences at UBC in Vancouver and NSERC Industrial Research Chair in Computational Geoscience.

Lars and Eldad are interested in scientific computing for inverse problems, especially electromagnetic imaging in geophysical applications. They both use Julia for teaching but mostly in their research. They contributed to Julia a wrapper for MUMPS and a few iterative solvers for large linear systems.",Distributed Algorithms for Full-Waveform-Inversion (FWI),"Full waveform inversion (FWI) is commonly used in geophysical explorations. The goal  of FWI is to estimate a model  (velocity) of the subsurface from measurements of the ground’s responses to seismic vibrations. FWI is known to be a challenging inverse problem that contains many local minima and can be ill-posed.

FWI is computationally demanding:  estimating a model that accurately predicts the measurements requires a large number of simulations each of which is obtained from solving the Helmholtz equation over many sources and frequencies.

This three hours hands-on workshop provides a brief introduction into FWI and the main cornerstones of inversion codes, including:
1. Finite Volume discretization of Helmholtz equation
1. Numerical optimization methods for solving the inverse problem.
1. Parallelization of the optimization problem

We will show how to design an inversion code that can work well for small to medium size problems and can be scaled up to large scale problems. Special emphasis will be put on Julia’s potential to distribute the PDE solves amongst all available workers."
Iain Dunning,"I've been working with Julia for over two years, and have contributed mostly packages: JuliaOpt, Coverage.jl, FactCheck.jl, Humanize.jl, GraphLayout.jl, as well as countless patches to other packages and to Julia itself. My other main contribution is the development of pkg.julialang.org and the PackageEvaluator.jl package ecosystem testing service.",JuliaOpt: Optimization-related projects in Julia,"In this talk we will present the JuliaOpt suite of packages for optimization in Julia. In particular, we will focus on how these packages interact and can be composed to solve a variety of problems.

We will begin with a discussion of two different modeling systems, JuMP and Convex.jl, and how they can be used to model different types of problems. We then move to describing the MathProgBase interface, which provides a rich abstraction over a variety of solvers (both pure Julia and external commercial and open-source libraries). Finally we will discuss how the JuliaOpt stack enables both rapid development of models and solvers, and outline future plans for JuliaOpt."
Weijian Zhang,"I am a PhD student in Numerical Analysis at the University of Manchester. I  develop MatrixDepot: a test matrix collection for Julia and PolarFact: a Julia package for the matrix polar decomposition.  My research interest is centrality measures on evolving graphs and I am currently developing EvolvingGraph: a dynamic graph analysis framework in Julia.
",Analyzing Evolving Graphs with Julia,"We present a Julia framework for analyzing large evolving graphs (also known as evolving networks or temporal graphs).  We describe how Julia's type system make it easy to represent evolving graphs and show how centrality measure can be generalized to a dynamic setting. Being written in Julia, it has a short development period and easy to maintain yet has a competing performance."
Blake Johnson,"Blake Johnson is a physicist working on building small quantum processors with superconducting qubits. He contributed to some of the first quantum algorithm demonstrations, and has extensive experience building FPGA-based hardware for controlling quantum systems. This custom hardware enables a new class of quantum feedback experiments requiring sub-microsecond measurement-to-control latency.

Blake is helping to build a growing set of packages relevant to quantum information processing, including Cliffords.jl for efficient simulation of a certain class of quantum circuits.",Quickly building simulations of quantum systems,"Powerful simulation tools are essential to early explorations of small quantum devices. I will introduce QSimulator.jl, a package to facilitate such simulations with a straightforward algebraic syntax to compose systems and interactions from a common toolbox. The package takes advantage of Julia's parallel processing capabilities to distribute parameter sweeps across many nodes, greatly accelerating common workflows. "
Kevin Damazyn and Mark Tabor,"Kevin: Recent SLU Computer Science (BS) graduate who currently works at Asynchrony Solutions in St. Louis.
  Mark: Mark Tabor graduated from Saint Louis University with a BS in Computer Science.  He is a former Marine and Iraq war veteran.  His research interests involve Machine Learning and NLP.","SLU-TMI - TextMining.jl","The SL Text Mining Initiative is an interdisciplinary project between the Computer Science and English departments. The initial focus is the construction of open source tools, in Julia, to facilitate text mining research. The project will then use these large-scale, computational tools to explore whether common delimiters of time period (namely, the concept of literary generations) operate at the level of lexical, linguistic, or stylistic patterns.  Using this information, natural language processing models will be constructed to classify unseen texts into these literary generations."
Simon Kornblith,"Simon Kornblith is a graduate student in Brain and Cognitive Sciences at MIT. He has used Julia in his work since 2013. He contributes to several Julia packages, including HDF5, MAT, DSP, and DataArrays, as well as to Julia itself. ",JLD: Saving Julia objects to the disk in HDF5 format,"The JLD module, included in HDF5.jl, provides a way to save and read any Julia data structure using the hierarchical data format HDF5. JLD maps Julia types and immutables directly to HDF5 compound types, providing efficient and structured on-disk storage that is robust to changes in code and in Julia itself. I will give an overview of how this mapping works, its strengths, and its pitfalls."
Avik Sengupta,"Avik Sengupta has built risk and trading systems in Java for investment banks for over a decade. Three years ago he discovered Julia, and hasn't looked back since. He is a Julia contributor and the maintainer of a few Julia packages.

",Serving up : A practical guide to exposing Julia APIs on the web,"The ability to expose Julia code on the internet, via HTTP, can be useful in many circumstances. In this lightning talk, we will see a practical demonstration of how to create a REST API from any Julia code, both in a pure Julia environment, as well as within a hybrid infrastructure.  We will look at some the security and stability requirements for this functionality, and the options for deployment."
Tanmay Mohapatra,https://www.linkedin.com/in/tanmaykm,ProtoBuf.jl - Interfacing Julia with Complex systems using Protocol Buffers,"Protocol buffers are a language-neutral, platform-neutral, extensible way of serializing structured data for use in communications protocols, data storage, and more.

ProtoBuf.jl is a Julia implementation for protocol buffers which makes it possible for Julia applications communicate with other applications in a distributed, heterogeneous environment. For example, the Elly.jl package uses ProtoBuf extensively to integrate with HDFS and Yarn. However the use cases are many more."
Bob Carpenter,"Bob Carpenter is a research scientist in computational statistics
(Columbia University).  He designed the Stan probabilistic programming
language and is one of the Stan core developers.

Bob has a Ph.D. in cognitive and computer science (University of
Edinburgh), worked as a professor of computational linguistics
(Carnegie Mellon University), an industrial researcher and programmer
in speech recognition and natural language processing (Bell Labs,
SpeechWorks, LingPipe).  In addition to working on Stan, he's written
two books on computational linguistics, many papers, and the widely
used LingPipe natural language processing toolkit.","Stan.jl: Statistical Modeling and Inference Made Easy","Stan.jl is the Julia interface to Stan, an open-source, imperative
probabilistic programming language.  Stan allows you to express a
customized statistical model and conditioned on data, perform optimization
for classical penalized maximum likelihood estimation or sampling for
full Bayesian inference."
Eric Davies,"Eric works in R&D at Invenia Technical Computing: a small, cutting-edge startup targeting inefficiencies in electrical grids. His interests lie in machine learning but his contributions to the Julia community have been database-related: Eric wrote and maintains PostgreSQL.jl and DBAPI.jl, and contributed to DBI.jl. ",Towards A Consistent Database Interface,This talk will compare and demonstrate the two proposed Julia database interfaces DBI.jl and DBAPI.jl and solicit feedback on the community's desired direction.
Amit Murthy,,Cluster Managers and Parallel Julia,"This presentation will cover
- a short introduction to parallel Julia internals
- writing a custom cluster manager
- demo of a cluster manager using ZeroMQ for transport"
Kiran Pamnany and Ranjan Anantharaman,"Kiran works at Intel's Parallel Computing Lab, on enabling HPC application scaling on large IA-based clusters. His primary research focus is parallel programming models, and the underlying low-overhead, high performance software stacks required.

Together with the core Julia developers, Kiran has built a multi-threading infrastructure for Julia -- the ``threading`` branch on Github.

Ranjan is completing his internship at Intel Labs, on his way to earning his undergraduate degree in computer science from BITS-Pilani, Hyderabad. He has built and analyzed some of the first multi-threaded Julia programs.",Multi-threading Julia,"Shared memory parallelism is essential for high performance on today's multi- and many-core architectures. We will present the threading infrastructure built into Julia, the programming model presented, and discuss design choices and alternatives.

We will then present our experiences with, and the results of, applying this infrastructure to scale a number of different workloads written in Julia; often demonstrating performance comparable with C."
Patrick Sanan,"Patrick Sanan is a postdoctoral researcher at USI, Lugano, working on the GeoPC PASC project to advance the state of the art of preconditioners within large geophysics simulations. He is interested in the use of Julia for HPC.",Using Julia on a Cray Supercomputer,"Julia can now be used on a Cray supercomputer! We detail how, relying on recent upgrades by Amit Murty to the MPI ClusterManager. To work with Cray's paradigm of hiding details of the compute nodes from the user, all communication is done through MPI, and master and worker threads are uniformly launched as Julia processes running on compute nodes. This has the advantage of simplicity, and takes advantage of Cray's optimized MPI implementation. This procedure allows for extremely portable code which can use any Julia ClusterManager implementation, allowing for development on a laptop and deployment on the largest supercomputers."
Hongbo Rong,"A researcher at Programming Systems Lab in Intel. Worked on software pipelining, binary translation, and recently HPC.
Before that, a developer  in Microsoft Visual Studio. Engineered local scheduler and tree register allocator in Phoenix compiler, and the C++ type system in Visual Studio 2011.
Best Paper Awards at CGO 2004 and 2014.
Developed an initial version of Julia2C. Developing a Julia package, Sparse Accelerator.",Sparse Accelerator,"High-performance computing (HPC) on sparse data structures like graphs is becoming increasingly important in computational biology, web search, and knowledge discovery, etc.  Unlike traditional HPC applications that deal with regular data structures, sparse computation has unique challenges: its performance is often bound by the memory bandwidth,and  its parallelism is dependent on the specific input data. It is a very time-consuming process to speedup such workloads, usually taking an expert several months or years to achieve close-to-peak performance for a new architecture.

We propose an external Julia package, called Sparse Accelerator, to  automatically optimizes sparse applications. It co-designs compiler, library and runtime to exploit the potential.
"
